index,baseline,observed,residual,label,A,B,C
48,19.441169,19.392378,0.048791,0,0,0,0
49,19.684947,20.284262,0.599315,0,0,0,0
50,19.933642,21.827996,1.894355,1,0,1,1
51,20.183371,21.211280,1.027909,0,0,0,0
52,20.430240,20.683307,0.253067,0,0,0,0
53,20.670395,21.177273,0.506879,0,0,0,0
54,20.900088,20.516404,0.383684,0,0,0,0
55,21.115736,20.707729,0.408007,0,0,0,0
56,21.313973,21.802796,0.488823,0,0,0,0
57,21.491706,21.773749,0.282043,0,0,0,0
58,21.646162,21.084659,0.561502,0,0,0,0
59,21.774929,21.637579,0.137350,0,0,0,0
60,21.876000,24.472896,2.596896,1,1,1,1
61,21.947796,21.931333,0.016463,0,0,0,0
62,21.989198,21.396544,0.592654,0,0,0,0
63,21.999558,22.168742,0.169184,0,1,0,0
64,21.978716,22.527773,0.549057,0,1,0,0
65,21.926998,21.616328,0.310670,0,0,0,0
66,21.845208,21.376208,0.469001,0,0,0,0
67,21.734625,22.166151,0.431526,0,1,0,0
68,21.596974,23.554775,1.957801,0,1,1,1
69,21.434403,20.910675,0.523727,0,0,0,0
70,21.249448,23.026605,1.777158,1,1,0,1
71,21.044996,21.626147,0.581151,0,0,0,0
72,20.824237,20.897323,0.073086,0,0,0,0
73,20.590616,19.990631,0.599985,0,0,0,0
74,20.347779,20.429302,0.081523,0,0,0,0
75,20.099515,20.678492,0.578977,0,0,0,0
76,19.849698,19.618978,0.230719,0,0,0,0
77,19.602226,19.082703,0.519523,0,0,0,0
78,19.360962,19.725556,0.364595,0,0,0,0
79,19.129669,19.555240,0.425571,0,0,0,0
80,18.911958,20.437698,1.525740,1,0,0,0
81,18.711225,18.407865,0.303360,0,0,0,0
82,18.530603,19.083036,0.552432,0,0,0,0
83,18.372911,18.533915,0.161004,0,0,0,0
84,18.240608,17.646687,0.593921,0,0,0,0
85,18.135761,19.727804,1.592043,0,0,0,1
86,18.060004,18.655976,0.595972,0,0,0,0
87,18.014521,17.868902,0.145618,0,0,0,0
88,18.000020,17.441572,0.558448,0,0,0,0
89,18.016728,18.306252,0.289524,0,0,0,0
90,18.064384,20.548224,2.483840,1,0,1,1
91,18.142245,17.728041,0.414204,0,0,0,0
92,18.249096,17.871991,0.377104,0,0,0,0
93,18.383269,18.894649,0.511380,0,0,0,0
94,18.542670,18.787997,0.245327,0,0,0,0
95,18.724813,18.150214,0.574598,0,0,0,0
96,18.926854,18.829594,0.097260,0,0,0,0
97,19.145642,19.745303,0.599661,0,0,0,0
98,19.377761,19.320495,0.057266,0,0,0,0
99,19.619591,19.034687,0.584904,0,0,0,0
100,19.867356,22.075346,2.207990,1,1,1,1
101,20.117192,20.648499,0.531308,0,0,0,0
102,20.365198,21.620297,1.255098,0,0,0,0
103,20.607506,20.165076,0.442430,0,0,0,0
104,20.840334,21.299245,0.458911,0,0,0,0
105,21.060049,21.384223,0.324174,0,0,0,0
106,21.263222,20.720775,0.542447,0,0,0,0
107,21.446683,21.262292,0.184391,0,0,0,0
108,21.607569,22.197532,0.589963,0,1,0,0
109,21.743369,21.775733,0.032364,0,0,0,0
110,21.851965,23.253662,1.401697,1,1,0,0
111,21.931661,22.053473,0.121812,0,1,0,0
112,21.981215,22.548128,0.566913,0,1,0,0
113,21.999852,21.731953,0.267899,0,0,0,0
114,21.987282,21.489404,0.497878,0,0,0,0
115,21.943702,22.339898,0.396197,0,1,0,0
116,21.869790,22.265573,0.395783,0,1,0,0
117,21.766701,21.268516,0.498186,0,0,0,0
118,21.636044,21.368638,0.267406,0,0,0,0
119,21.479856,23.646949,2.167093,0,1,1,1
120,21.300576,23.421848,2.121272,1,1,1,1
